Posted Date,Payee, Amount ,ABS Amount,Source,Bas-Lux,Category
11/17/25,MYKIDSSPENDING.C WK4472119  ***********SAAS,-25.00,25.00,usaa-cc,Luxury,Dining
11/17/25,MYKIDSSPENDING.C WK4472118  ***********SAAS,-25.00,25.00,usaa-cc,Luxury,Dining
11/17/25,sound medicine   sound medi ***********U6R7,-255.00,255.00,usaa-cc,Basic,Health & Medical
11/16/25,USAA INSURANCE PAYMENT,1233.47,"1,233.47",usaa-jcc,Basic,Insurance
11/15/25,Shake Shack,47.97,47.97,usaa-jcc,Luxury,Dining
11/15/25,METROPOLITAN MKT 156,39.83,39.83,usaa-jcc,Basic,Groceries
11/15/25,The Home Depot,109.25,109.25,usaa-jcc,Basic,Home & Garden
11/15/25,DEFY SEATTLE        TUKWILA             WA,33.05,33.05,amex-cc,0,0
11/15/25,AMC 0607 SOUTHCENTER 1,17.61,17.61,usaa-jcc,Luxury,Enrichment
11/15/25,Violet,230.51,230.51,usaa-jcc,Luxury,Dining
11/15/25,Comcast,193.94,193.94,usaa-jcc,Basic,Utilities
11/14/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/14/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
11/14/25,Netflix,27.58,27.58,usaa-jcc,Luxury,Subscriptions / Digital
11/14/25,USAA Transfer,5000.00,"5,000.00",usaa-cc,Basic,Transfer
11/14/25,AMAZON PRIME*8H20B7AAMZN.CO.UK/PM       GB,11.87,11.87,amex-cc,Basic,Home & Garden
11/14/25,Overdraft Credit Card Advance,700.00,700.00,usaa-cc,Luxury,Bank Fees
11/14/25,Brownpapertickets.com,58.96,58.96,usaa-jcc,Luxury,Enrichment
11/14/25,Anchorhead Coffee,12.37,12.37,usaa-jcc,Luxury,Dining
11/14/25,Dick's Drive-In,4.46,4.46,usaa-jcc,Luxury,Dining
11/14/25,Psccu,-300.00,300.00,usaa-cc,Basic,Utilities
11/14/25,Starlink,5.00,5.00,usaa-jcc,Luxury,Van
11/13/25,Shell,6.19,6.19,usaa-jcc,Basic,Auto
11/13/25,Shell,60.00,60.00,usaa-jcc,Basic,Auto
11/13/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/13/25,Instacart via Instacart,192.94,192.94,usaa-jcc,Basic,Groceries
11/13/25,Apple,4.40,4.40,usaa-jcc,Basic,hardware technology
11/13/25,Sydney.mariejo,876.63,876.63,usaa-jcc,Luxury,Professional
11/13/25,Libro.fm,16.54,16.54,usaa-jcc,Luxury,Subscriptions / Digital
11/13/25,Ext Credit Card Credit 4297453                  AUTOPAYLANG*!01,1332.48,"1,332.48",ftcu-cc,0,0
11/13/25,Healthy Paws Debitpmt,-118.98,118.98,usaa-cc,Luxury,Pets
11/13/25,USAA Overdraft,700.00,700.00,usaa-jcc,Basic,Enrichment
11/13/25,Seattle Public Utilities,-579.16,579.16,usaa-cc,Basic,Utilities
11/12/25,DoorDash,132.24,132.24,usaa-jcc,Luxury,Dining
11/12/25,Healthy Paws Debitpmt,-43.71,43.71,usaa-cc,Luxury,Pets
11/12/25,Overdraft Credit Card Advance,100.00,100.00,usaa-cc,Luxury,Bank Fees
