Posted Date,Reference Number,Payee,Address,Amount
04/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-63.88
04/25/2025,74137465114001525078934,"NORDSTROM#1 SEATTLE WA","SEATTLE       WA ",165.51
04/25/2025,24011345115100018308607,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
04/23/2025,                       ,"LATE FEE FOR PAYMENT DUE","",-27.00
04/23/2025,24692165112103714957975,"SQ *DRIFTWOOD NATURAL SKIgosq.com WA","gosq.com      WA ",-346.01
04/22/2025,24039825111900015900584,"COYOTE CAFE SANTA FE NM","SANTA FE      NM ",-218.51
04/21/2025,24692165111102251353987,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
04/21/2025,24692165109100587565989,"SQ *PICNIC POP-UP CHEESE Cerrillos NM","Cerrillos     NM ",-6.63
04/19/2025,24493985109096800015780,"HIST MUSEUM/PALACE OF GO 5054765101 NM","5054765101    NM ",-24.00
04/19/2025,24453885109000013501560,"OHORI'S COFFEE SANTA FE NM","SANTA FE      NM ",-70.47
04/19/2025,24453885109000013500620,"OHORI'S COFFEE SANTA FE NM","SANTA FE      NM ",-16.30
04/19/2025,24692165108109980344547,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
04/19/2025,24692165108109814040063,"SQ *MEOW WOLF SANTA FE LLSanta Fe NM","Santa Fe      NM ",-7.48
04/19/2025,24011345108100080510758,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
04/18/2025,24493985108096490064404,"GEORGIA O'KEEFFE MUSEUM SANTA FE NM","SANTA FE      NM ",-75.07
04/18/2025,24055225107309446175303,"CAFE PASQUAL'S SANTA FE NM","SANTA FE      NM ",-130.91
04/17/2025,24011345106100118197752,"TEN THOUSAND WAVES 150-59829304 NM","150-59829304  NM ",-150.59
04/16/2025,24493985106095791097255,"TIA SOPHIA'S RESTAURANT SANTA FE NM","SANTA FE      NM ",-50.28
04/16/2025,24137465106001768677520,"WHOLEFDS CER 10104 SANTA FE NM","SANTA FE      NM ",-61.02
04/14/2025,24692165102104723339892,"TST*MAGNUSON CAFE & BREW Seattle WA","Seattle       WA ",-88.51
04/11/2025,24011345101100018977555,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
04/10/2025,24692165099101942196314,"TST*SKILLET REGRADE Seattle WA","Seattle       WA ",-42.40
04/08/2025,24692165097100414325619,"SQ *FULCRUM MOUNTAINTOPS Seattle WA","Seattle       WA ",-23.62
04/07/2025,24011345095100064266968,"JUDAICAWEBSTORE.COM WWW.JUDAICAWENY","WWW.JUDAICAWE NY ",-121.95
04/04/2025,24011345094100027563304,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
04/03/2025,24137465093001266060299,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-165.51
04/02/2025,24011345092100003733014,"SP HONEY STINGER HONEYSTINGER.CO","HONEYSTINGER. CO ",-54.38
04/01/2025,74350155091000967209399,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
03/31/2025,74541835088288075262556,"DAISO JAPAN - ION SINGAPORE","",-4.72
03/29/2025,74143255088100000935375,"MASHSG SINGAPORE","",-138.41
03/28/2025,24011345087100015476575,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
03/27/2025,24198805085512612172128,"PAYPAL *ARSENIC ANY AR 4029357733 VT","4029357733    VT ",-115.00
03/26/2025,74609055085100005886148,"REMARKABLE OSLO","",-3.30
