Posted Date,Reference Number,Payee,Address,Amount
08/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-125.66
08/23/2025,                       ,"LATE FEE FOR PAYMENT DUE","",-39.00
08/23/2025,24692165234106383884126,"TST*MAMNOON STREET QSR Seattle WA","Seattle       WA ",-40.12
08/23/2025,24692165234106192416649,"SQ *VISIBLE COFFEE ROASTESeattle WA","Seattle       WA ",-6.55
08/22/2025,24011345234100062689767,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-129.56
08/22/2025,24692165233105287782817,"SQ *VOLUNTEER PARK CAFE &Seattle WA","Seattle       WA ",-24.11
08/21/2025,24692165232104208171367,"TST*SKILLET REGRADE Seattle WA","Seattle       WA ",-39.08
08/20/2025,24137465232001254510703,"NORDSTROM RACK #138 BELLEVUE WA","BELLEVUE      WA ",-38.50
08/19/2025,24692165231103111334501,"TST*RUBINSTEIN BAGELS - Seattle WA","Seattle       WA ",-15.79
08/16/2025,24198805227532973902086,"PAYPAL *UNICYCLE 6784944962 GA","6784944962    GA ",-108.62
08/15/2025,24055235227443688839955,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-9.50
08/15/2025,24011345227100058879215,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
08/12/2025,24943005224264701751522,"POKE ALICE 2 SEATTLE WA","SEATTLE       WA ",-47.63
08/11/2025,24692165222105616267509,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
08/11/2025,74188895221000259195027,"tripla Co., Ltd. Tokyo","",-973.81
08/08/2025,24055235220435602670752,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-12.50
08/07/2025,24251385218030049512169,"ELTSA CUSTOM SEWING SEATTLE WA","SEATTLE       WA ",-320.40
08/07/2025,24027625218067369862081,"PAYPAL *SVALBOARD SVALBOA402-935-7733 CA","402-935-7733  CA ",-438.51
08/04/2025,24027625215067234102914,"PAYPAL *HUEL 402-935-7733 NY","402-935-7733  NY ",-75.00
08/02/2025,24493985214132003063475,"SEA AIRPORT PARKING 2067874069 WA","2067874069    WA ",-8.00
08/02/2025,24231685213427621553897,"SAFEWAY #1493 SEATAC WA","SEATAC        WA ",-27.86
08/02/2025,24137465213501235458453,"WHOLEFDS BLV 10153 BELLEVUE WA","BELLEVUE      WA ",-11.92
08/01/2025,24011345213100069076757,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
08/01/2025,74350155213007576275235,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
07/31/2025,24692165211108208757914,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-21.29
07/30/2025,24011345210100113830863,"SP HONEY STINGER HONEYSTINGER.CO","HONEYSTINGER. CO ",-54.38
07/30/2025,24036295210742096185845,"AIRBNB * HMKNBQB23F AIRBNB.COM CA","AIRBNB.COM    CA ",-64.62
07/29/2025,24493985210130593044842,"SEA AIRPORT PARKING 2067874069 WA","2067874069    WA ",-8.00
07/29/2025,24793385210001201126075,"Vagaro_*Refine Nails and SEATTLE WA","SEATTLE       WA ",-102.50
07/29/2025,24692165209106090717784,"TST*GASWORKS BREWERY Seattle WA","Seattle       WA ",-25.18
07/28/2025,24011345209100031125829,"IC* INSTACART INSTACART.COMCA","INSTACART.COM CA ",-94.95
07/28/2025,24692165208104882454147,"GOOGLE *AllTrails com 855-836-3987 CA","855-836-3987  CA ",-39.72
07/28/2025,24793385207002200511056,"Title Nine - Seattle Seattle WA","Seattle       WA ",-267.05
07/26/2025,74609055207100006447059,"REMARKABLE OSLO","",-3.30
07/26/2025,24027625206067871637108,"PAYPAL *WAKAKUSA CU WAKAK402-935-7733 CA","402-935-7733  CA ",-3.57
07/26/2025,24027625206067871244962,"PAYPAL *WAKAKUSA CU WAKAK402-935-7733 CA","402-935-7733  CA ",-13.22
07/26/2025,24027625206067871208470,"PAYPAL *WAKAKUSA CU WAKAK402-935-7733 CA","402-935-7733  CA ",-15.36
