Posted Date,Reference Number,Payee,Address,Amount
02/24/2025,24692165054105232488532,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
02/24/2025,24427335054710043689201,"METROPOLITAN MKT 15 SEATTLE WA","SEATTLE       WA ",-74.90
02/22/2025,24198805052507609777839,"PAYPAL *ARSENIC ANY AR 4029357733 CA","4029357733    CA ",-181.00
02/21/2025,24011345052500018189367,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
02/21/2025,24793385051002088341045,"Vagaro_*Refine Nails a SEATTLE WA","SEATTLE       WA ",-102.50
02/21/2025,05273500010847000310870,"BA ELECTRONIC PAYMENT","",2648.84
02/19/2025,24692165049100905255589,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-42.48
02/19/2025,24692165049100464320113,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
02/18/2025,24011345048500073690975,"SP VLOUSNOW.COM VLOUSNOW.COM MD","VLOUSNOW.COM  MD ",-165.75
02/18/2025,24198805048506500616218,"PAYPAL *ETSY INC SAN JOSE NY","SAN JOSE      NY ",-1167.22
02/17/2025,24692165047109416917464,"SQ *RAVENNA BREWING CO Seattle WA","Seattle       WA ",-30.32
02/17/2025,24692165046108526764098,"IN *SHADES BY MARKHAM LLC425-4430156 WA","425-4430156   WA ",-2151.83
02/17/2025,24013395046003054116917,"SUMMIT AT SNOQUALMIE ECOM425-4347669 WA","425-4347669   WA ",-72.57
02/14/2025,24055235045243153324750,"BROWN BEAR LAKE CITY SEATTLE WA","SEATTLE       WA ",-25.85
02/14/2025,24011345045500022684288,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
02/08/2025,24240525038236512706252,"UW PAY BY PHONE 206-685-1553 WA","206-685-1553  WA ",-0.25
02/08/2025,24240525038236512702434,"UW PAY BY PHONE 206-685-1553 WA","206-685-1553  WA ",-10.00
02/08/2025,24240525038236512699994,"UW PAY BY PHONE 206-685-1553 WA","206-685-1553  WA ",-10.00
02/08/2025,24692165038101720642889,"STARBUCKS STORE 02810 SEATTLE WA","SEATTLE       WA ",-12.26
02/08/2025,24198805038505225436615,"PAYPAL *VISHNUFREES 4029357733 CA","4029357733    CA ",-14.00
02/07/2025,24011345038500022993639,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
02/07/2025,24240525037235485662782,"UW PAY BY PHONE 206-685-1553 WA","206-685-1553  WA ",-10.00
02/01/2025,24011345032500031622779,"SP HONEY STINGER HONEYSTINGER.CO","HONEYSTINGER. CO ",-54.38
02/01/2025,24692165031105529091047,"TST*BLAZING BAGELS - BLA Seattle WA","Seattle       WA ",-31.25
01/31/2025,24011345031500016666958,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
01/31/2025,24116415030716671670616,"XERO SHOES 720-259-0374 CO","720-259-0374  CO ",-63.62
01/30/2025,74350155030007719924047,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
01/28/2025,24036295028742337302334,"EB *OCTOBER H8TE 801-413-7200 CA","801-413-7200  CA ",-200.00
01/27/2025,24692165026101863746152,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
01/27/2025,24632695026500812888677,"ACT THEATRE WEB 206-292-7660 WA","206-292-7660  WA ",-130.00
01/27/2025,74609055026500004182088,"REMARKABLE OSLO","",-3.30
