Posted Date,Reference Number,Payee,Address,Amount
01/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-160.65
01/25/2025,24431065025137398006646,"CSA-GGA-DAMAGE INSURAN clover.com CA","clover.com    CA ",-89.00
01/25/2025,74431065024137076934172,"ALASKA AIR 0272394527601SEATTLE WA","SEATTLE       WA ",196.01
01/25/2025,24692165024102842957706,"Vrbo HA6L44TX 512-759-0902 TX","512-759-0902  TX ",-835.84
01/24/2025,24011345024500018661923,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
01/24/2025,74980005023832200839568,"EXPO2025TICKETSITE OSAKA","",-122.27
01/23/2025,24431065022135847537743,"ALASKA AIR 0272394527601SEATTLE WA","SEATTLE       WA ",-766.60
01/22/2025,02273500010847000407251,"BA ELECTRONIC PAYMENT","",12483.98
01/20/2025,24692165018107652623528,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
01/18/2025,24692165017107014044257,"STARBUCKS STORE 02810 SEATTLE WA","SEATTLE       WA ",-13.15
01/17/2025,24011345017500010679633,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
01/17/2025,24027625016067896411133,"PAYPAL *ARSENIC ANY ARSEN402-935-7733 CA","402-935-7733  CA ",-252.00
01/13/2025,24943005012129490735562,"BARTELL DRUG 06973 SEATTLE WA","SEATTLE       WA ",-62.62
01/11/2025,24116415010208308238557,"MIGAKU SEATTLE WA","SEATTLE       WA ",-985.45
01/10/2025,24011345010500009687586,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
01/08/2025,24692165007109027259825,"IN *SHADES BY MARKHAM LLC425-4430156 WA","425-4430156   WA ",-2151.83
01/06/2025,24803945005910005181508,"EPOCH.COM *PINKANDWH San FranciscoCA","San Francisco CA ",-5.93
01/06/2025,24692165004106296569143,"TST*BLAZING BAGELS - BLA Seattle WA","Seattle       WA ",-104.08
01/03/2025,24445005002300368130351,"QFC #5807 SEATTLE WA","SEATTLE       WA ",-22.09
01/03/2025,24445005002300368130278,"QFC #5807 SEATTLE WA","SEATTLE       WA ",-9.59
01/03/2025,24011345003000015010799,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
01/03/2025,24049555002900012869967,"MUD BAY UNIVERSITY VILLAGSEATTLE WA","SEATTLE       WA ",-137.34
01/02/2025,24445005001500559532072,"EVO - SEATTLE SEATTLE WA","SEATTLE       WA ",-220.53
01/02/2025,74350155001006217272300,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
12/31/2024,24036294366744186004477,"TOCK AT*TAVERN LAW TAVERNLAW.CO IL","TAVERNLAW.CO  IL ",-52.25
12/31/2024,24445004365100132051246,"SUMMIT AT SNOQUALMIE F&B SNOQUALMIE PAWA","SNOQUALMIE PA WA ",-26.00
12/30/2024,24692164364101605392425,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
12/30/2024,24000774365000000222520,"FULLSCRIPT* R588685504 HTTPSUS.FULLSNH","HTTPSUS.FULLS NH ",-120.97
12/30/2024,24445004364100204951712,"SUMMIT AT SNOQUALMIE F&B SNOQUALMIE PAWA","SNOQUALMIE PA WA ",-26.00
12/30/2024,24492164364000009286856,"SP JACK JEROME 120-65245225 WA","120-65245225  WA ",-295.75
12/30/2024,24445004363300345815351,"RED ROBIN NO 12 SEATTLE WA","SEATTLE       WA ",-24.00
12/30/2024,24492164363500008353624,"RP* SUMMIT AT SNOQUALM ROVERPASS.COMTX","ROVERPASS.COM TX ",-48.04
12/30/2024,24231684363195641548186,"SAFEWAY #1551 SEATTLE WA","SEATTLE       WA ",-10.99
12/28/2024,24801974363195294159906,"MAPLE LEAF ACE SEATTLE WA","SEATTLE       WA ",-78.75
12/27/2024,36273500010847000248653,"BA ELECTRONIC PAYMENT","",7140.54
12/27/2024,24692164361108839468346,"IN *SHADES BY MARKHAM LLC425-4430156 WA","425-4430156   WA ",-2328.97
12/27/2024,24011344362000015825962,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
12/26/2024,74609054361500002510617,"REMARKABLE OSLO","",-3.30
12/26/2024,24493984360059571067981,"SEA AIRPORT PARKING 2067874069 WA","2067874069    WA ",-32.00
12/26/2024,24445004359300455840153,"QFC #5807 SEATTLE WA","SEATTLE       WA ",-14.46
12/26/2024,24445004359300455840070,"QFC #5807 SEATTLE WA","SEATTLE       WA ",-5.79
12/26/2024,24692164359107249634277,"CRYSTAL MOUNTAIN 360-663-3020 WA","360-663-3020  WA ",-146.75
12/26/2024,24755424359163598750174,"SEA SMITH COVE 6951113 888-3100583 WA","888-3100583   WA ",-51.85
