Posted Date,Reference Number,Payee,Address,Amount
07/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-98.21
07/25/2025,24011345206100055943936,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
07/24/2025,24692165204101368218529,"TST*RUBINSTEIN BAGELS - Seattle WA","Seattle       WA ",-33.24
07/23/2025,                       ,"LATE FEE FOR PAYMENT DUE","",-39.00
07/23/2025,24430995204416620092257,"SEATTLEACADEMY 206-676-6894 WA","206-676-6894  WA ",-2763.00
07/23/2025,24733095204071348000893,"CONVENFEE 866-492-3463 MA","866-492-3463  MA ",-79.05
07/23/2025,24692165203100745123288,"TST*MONSOON - BELLEVUE Bellevue WA","Bellevue      WA ",-68.88
07/23/2025,20473500010847000181039,"BA ELECTRONIC PAYMENT","",4937.80
07/21/2025,24027625201067645862821,"PAYPAL *WORLDPACKER 786-897-1926 FL","786-897-1926  FL ",-49.00
07/19/2025,24692165199107124460336,"TST*THE BRYANT CORNER CA Seattle WA","Seattle       WA ",-48.30
07/19/2025,24692165199107034554798,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
07/18/2025,24036295199712507706898,"AIRBNB * HMKNBQB23F AIRBNB.COM CA","AIRBNB.COM    CA ",-76.59
07/18/2025,24011345199100018462502,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-121.56
07/17/2025,24011345198100012937088,"SP SPIRITUAL GANGSTE SPIRITUALGANGCA","SPIRITUALGANG CA ",-186.49
07/15/2025,24692165195102905344134,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
07/12/2025,24692165192100482438470,"TST*BELLE EPICUREAN - EA Seattle WA","Seattle       WA ",-27.67
07/11/2025,24011345192100016505994,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
07/09/2025,24692165189107502658529,"TST*AGUA VERDE CAFE Seattle WA","Seattle       WA ",-11.73
07/08/2025,24198805188526431152885,"PAYPAL *VISHNUFREES 4029357733 CA","4029357733    CA ",-66.00
07/04/2025,24692165184102668409879,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-34.21
07/03/2025,24055235184394193906436,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-7.00
07/03/2025,24692165184102487628212,"SQ *FULCRUM MOUNTAINTOPS Seattle WA","Seattle       WA ",-9.28
07/02/2025,74350155183005854468270,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
07/01/2025,24943005182237163945071,"POKE ALICE 2 SEATTLE WA","SEATTLE       WA ",-42.35
06/30/2025,24036385180071713046031,"PAYPAL *FANDANGO 866-857-5191 CA","866-857-5191  CA ",-45.30
06/27/2025,24240525178387306613145,"WA DEPT OF HEALTH HSQA 360-236-4508 WA","360-236-4508  WA ",-1328.40
06/27/2025,74940005177018280293420,"DECATHLON LOGRONO LOGRONO","",-64.13
06/27/2025,74040945177008129371533,"LAVANDERIA OPEN BLUE LOGRONO","",-9.33
06/27/2025,74040945177008105162070,"LAVANDERIA OPEN BLUE LOGRONO","",-8.17
06/27/2025,24011345178100012206595,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
06/26/2025,74609055177100006008543,"REMARKABLE OSLO","",-3.30
