Posted Date,Reference Number,Payee,Address,Amount
06/24/2025,74509465174210082656696,"SIMPLY CHILE LOGRONO","",-18.93
06/24/2025,24036295174718177292910,"AIRBNB * HMSBE25BKD AIRBNB.COM CA","AIRBNB.COM    CA ",-704.37
06/23/2025,24036295173716056934967,"AIRBNB * HMKNBQB23F AIRBNB.COM CA","AIRBNB.COM    CA ",-284.99
06/23/2025,17473500010847000286032,"BA ELECTRONIC PAYMENT","",2921.24
06/23/2025,74509465172210080925749,"CACHITO MIO LARDERO","",-10.22
06/23/2025,74509465172210080490413,"MIKONOS GRAN VIA LOGRONO","",-40.41
06/23/2025,74509465172210080869046,"MIKONOS GRAN VIA LOGRONO","",-84.04
06/21/2025,24431065171230334571237,"ALASKA AIR 0272109051092SEATTLE WA","SEATTLE       WA ",-133.30
06/20/2025,24036295170744597721159,"ALLIANZ TRAVEL INS ALLIANZINS.USVA","ALLIANZINS.US VA ",-23.98
06/20/2025,24793385170000912433075,"as.Saily*saily Lewes DE","Lewes         DE ",-14.99
06/19/2025,24692165169102170102961,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
06/18/2025,24493985169116697034210,"SEA AIRPORT PARKING 2067874069 WA","2067874069    WA ",-8.00
06/18/2025,24692165168101229251077,"SQ *JOEY UNIVERSITY VILLASeattle WA","Seattle       WA ",-141.23
06/17/2025,24692165167100586090780,"TST*EL CAMION - SAND POI Seattle WA","Seattle       WA ",-31.09
06/16/2025,24692165167100163654396,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
06/14/2025,74284485164523963939499,"PAYPAL *IEFSPACESPT 91051816","",-89.00
06/13/2025,24055235164371409485185,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-41.50
06/13/2025,24011345164100031138932,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
06/13/2025,24801975163370853461519,"FURY CONSIGNMENT SEATTLE WA","SEATTLE       WA ",-458.61
06/12/2025,24692165162106260663615,"SQ *FULCRUM MOUNTAINTOPS Seattle WA","Seattle       WA ",-24.15
06/12/2025,24692165162105893472642,"TST*RUBINSTEIN BAGELS - Seattle WA","Seattle       WA ",-32.49
06/11/2025,24036295161714328017921,"RUELALA*MMSMOORSLQ RUELALA.COM MA","RUELALA.COM   MA ",-156.67
06/10/2025,24036295160718176129911,"RUELALA*MMSQOQQPNT RUELALA.COM MA","RUELALA.COM   MA ",-369.62
06/09/2025,24692165158102530633344,"SWEETGREEN SOUTH LAKE SEATTLE WA","SEATTLE       WA ",-31.86
06/06/2025,24801975156362998034235,"FURY CONSIGNMENT SEATTLE WA","SEATTLE       WA ",-165.11
06/06/2025,24011345157100013154955,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-119.67
06/06/2025,24943005156220313149440,"LERNER FAMILY CAFE SEATTLE WA","SEATTLE       WA ",-9.93
06/03/2025,24692165154108194810296,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-24.28
06/03/2025,74350155154004331407659,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
06/02/2025,24011345153100003479135,"SP HONEY STINGER HONEYSTINGER.CO","HONEYSTINGER. CO ",-54.38
06/02/2025,24692165152106282990030,"SQ *STYLECLASSEDGE Seattle WA","Seattle       WA ",-150.00
06/02/2025,24692165151105949598609,"TST*BOUNTY KITCHEN Seattle WA","Seattle       WA ",-27.38
05/30/2025,24055235150355709450508,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-15.00
05/30/2025,24011345150100012385243,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
05/29/2025,24493985148109696040359,"WWW.DWR.COM 800-944-2233 CT","800-944-2233  CT ",-4075.45
05/29/2025,24692165148103173090977,"TST*KUMA - GEORGETOWN Seattle WA","Seattle       WA ",-31.93
05/28/2025,24431065147214604539596,"ALASKA AIR 0272106640952SEATTLE WA","SEATTLE       WA ",-52.51
05/28/2025,14873500010847000359402,"BA ELECTRONIC PAYMENT","",2921.24
05/26/2025,74609055146100006124207,"REMARKABLE OSLO","",-3.30
05/26/2025,24492165144100033479610,"LS MONTLAKE BICYCLE S 186-69321801 WA","186-69321801  WA ",-33.11
