Posted Date,Reference Number,Payee,Address,Amount
03/24/2025,24692165083107300389498,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
03/24/2025,24717055081870815265018,"ANA AIR 2057210998391SEATTLE WA","SEATTLE       WA ",-950.21
03/24/2025,24717055081870815265000,"ANA AIR 2057210998390SEATTLE WA","SEATTLE       WA ",-950.21
03/21/2025,08073500010847000301636,"BA ELECTRONIC PAYMENT","",5231.91
03/21/2025,24011345080100020325392,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
03/21/2025,24692165079104467614624,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-23.73
03/21/2025,24793385079003072945047,"Vagaro_*Refine Nails a SEATTLE WA","SEATTLE       WA ",-98.40
03/20/2025,24692165078103453290614,"SQ *FULCRUM MOUNTAINTOPS Seattle WA","Seattle       WA ",-25.86
03/19/2025,74137465077001687038093,"NORDSTROM#1 SEATTLE WA","SEATTLE       WA ",1938.01
03/19/2025,24137465078001258663190,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-79.45
03/19/2025,24692165077102373051040,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
03/14/2025,24011345073500015507277,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
03/13/2025,24943005072166484775631,"COSTCO WHSE #1190 LYNNWOOD WA","LYNNWOOD      WA ",-6.60
03/13/2025,24036295071712064042821,"QUICKEN INC 650-250-1900 CA","650-250-1900  CA ",-145.53
03/12/2025,24493985070084015213411,"SDOT PAYBYPHONE PARKING 206-684-5260 WA","206-684-5260  WA ",-3.25
03/12/2025,24692165070109291929584,"TST*SKILLET REGRADE Seattle WA","Seattle       WA ",-44.30
03/11/2025,24137465070001244890897,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-446.09
03/11/2025,24137465070001244890970,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-569.41
03/10/2025,24137465069001173895365,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-425.27
03/10/2025,24941665067116111171324,"EINSTEIN BROS BAGELS2171 SEATTLE WA","SEATTLE       WA ",-10.90
03/07/2025,24011345066500043725346,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
03/06/2025,24000775065500001608874,"CAMP NORWESTER WWW.NORWESTERWA","WWW.NORWESTER WA ",-175.00
03/05/2025,74350155064009495289560,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
02/28/2025,24011345059500028856123,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
02/26/2025,74609055057500005227033,"REMARKABLE OSLO","",-3.30
02/26/2025,24692165056106779451758,"GOOGLE *Duolingo 855-836-3987 CA","855-836-3987  CA ",-105.93
