Posted Date,Reference Number,Payee,Address,Amount
05/24/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-57.44
05/24/2025,24692165144109163156250,"SQ *DRIFTWOOD NATURAL SKIgosq.com WA","gosq.com      WA ",-64.00
05/24/2025,24793385143000016651071,"Vagaro_*Refine Nails and SEATTLE WA","SEATTLE       WA ",-102.50
05/23/2025,24055235143348138771297,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-12.50
05/23/2025,24011345143100012764066,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
05/21/2025,24692165140106351416201,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-9.83
05/20/2025,24137465140001201543154,"NORDRACKCOM8889666283 888-966-6283 CA","888-966-6283  CA ",-55.14
05/20/2025,24137465140001201543071,"NORDRACKCOM8889666283 888-966-6283 CA","888-966-6283  CA ",-170.94
05/20/2025,24692165139104751051630,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
05/19/2025,24692165138104175694172,"GOOGLE *Disney Mobile 855-836-3987 CA","855-836-3987  CA ",-17.65
05/19/2025,24692165137103470338288,"TM *JON BATISTE 800-653-8000 CA","800-653-8000  CA ",-218.00
05/16/2025,24137465136001282491337,"NORDRACKCOM8889666283 888-966-6283 CA","888-966-6283  CA ",-99.28
05/16/2025,24137465136001282491410,"NORDRACKCOM8889666283 888-966-6283 CA","888-966-6283  CA ",-134.85
05/16/2025,24011345136100020785151,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
05/15/2025,24137465135001324860698,"NORDRACKCOM8889666283 888-966-6283 CA","888-966-6283  CA ",-69.49
05/15/2025,24692165134100919639964,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-54.57
05/15/2025,74431065134206345289689,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",74.00
05/15/2025,74431065134206345289671,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",61.00
05/15/2025,74431065134206345289663,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",61.00
05/13/2025,24717055133121333270207,"SHORELINE SCHOOL DISTRICT206-3934215 WA","206-3934215   WA ",-58.96
05/13/2025,24431065132205080464728,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",-74.00
05/13/2025,24431065132205080464710,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",-114.00
05/13/2025,24431065132205080464702,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",-114.00
05/13/2025,24431065132205080464694,"ALASKA AIR 0272105262086SEATTLE WA","SEATTLE       WA ",-126.00
05/13/2025,24431065132205080464686,"ALASKA AIR 0272105259538SEATTLE WA","SEATTLE       WA ",-126.00
05/13/2025,24431065132205080464678,"ALASKA AIR 0272105260140SEATTLE WA","SEATTLE       WA ",-626.60
05/13/2025,24431065132205080464660,"ALASKA AIR 0272105260139SEATTLE WA","SEATTLE       WA ",-626.60
05/13/2025,24431065132205080040734,"ALASKA AIR SEATTLE WA","SEATTLE       WA ",-74.00
05/13/2025,13373500010847000327331,"BA ELECTRONIC PAYMENT","",6485.11
05/12/2025,13273500010847000227839,"BA ELECTRONIC PAYMENT","",170.00
05/10/2025,24692165129106119757578,"TST*BA BAR - SOUTH LAKE Seattle WA","Seattle       WA ",-23.78
05/09/2025,24011345129100013066972,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
05/06/2025,24943005126200891737854,"POKE ALICE 2 SEATTLE WA","SEATTLE       WA ",-20.29
05/06/2025,24943005126200891737847,"POKE ALICE 2 SEATTLE WA","SEATTLE       WA ",-20.29
05/02/2025,74350155122002668425921,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
05/02/2025,24011345122100021726499,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
05/01/2025,24492165121100009163773,"SP FELLOW PRODUCTS FELLOWPRODUCTCA","FELLOWPRODUCT CA ",-128.81
04/28/2025,24000775116100028609259,"V. FREITAS LAW, PLLC v@vfreitaslawWA","v@vfreitaslaw WA ",-340.00
04/26/2025,74609055116100005710952,"REMARKABLE OSLO","",-3.30
04/26/2025,24198805115516513594946,"PAYPAL *ARSENIC ANY AR 4029357733 VT","4029357733    VT ",-153.00
04/26/2025,24198805115516513233461,"PAYPAL *ARSENIC ANY AR 4029357733 VT","4029357733    VT ",-42.00
