Posted Date,Reference Number,Payee,Address,Amount
11/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-178.53
11/25/2025,24692165328107644409395,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-8.83
11/25/2025,24027625328067916793992,"PAYPAL *BLACKSTRAP BLACKS402-935-7733 OR","402-935-7733  OR ",-71.99
11/25/2025,32973500010847000281797,"BA ELECTRONIC PAYMENT","",7402.41
11/24/2025,                       ,"LATE FEE FOR PAYMENT DUE","",-39.00
11/24/2025,24013395327004726170548,"KATTERMANS SAND POINT PHASEATTLE WA","SEATTLE       WA ",-7.69
11/24/2025,24692165327106005088039,"Amazon.com*B20R95CH2 Amzn.com/billWA","Amzn.com/bill WA ",-750.00
11/24/2025,24027625326067739943776,"PAYPAL *HUEL 402-935-7733 NY","402-935-7733  NY ",-75.00
11/22/2025,24064665326100000957074,"WWW.INSPIREDCLOSETSSEA WWW.INSPIREDCWA","WWW.INSPIREDC WA ",-1500.00
11/21/2025,24011345325100076512112,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-135.23
11/21/2025,24137465325001349264017,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-44.14
11/21/2025,24692165324103236469263,"TST*SKILLET REGRADE Seattle WA","Seattle       WA ",-51.56
11/20/2025,24137465324001331994226,"NORDSTROM DIRECT #0808 800-285-5800 IA","800-285-5800  IA ",-22.07
11/19/2025,24027625322067505486681,"PAYPAL *EBAY US 786-762-515 CA","786-762-515   CA ",-27.58
11/18/2025,24793385322001028689078,"Vrbo HA8BZ07S 512-7590902 TX","512-7590902   TX ",-1381.06
11/17/2025,24122595320017055517683,"SAND POINT GRILL SEATTLE WA","SEATTLE       WA ",-81.36
11/17/2025,74769575320004020117075,"WB E-STORE 800-766-0449 BC","800-766-0449  BC ",-191.05
11/17/2025,24036295319714689328504,"MPIX 620-231-8050 KS","620-231-8050  KS ",-14.87
11/14/2025,24011345318100069204189,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
11/14/2025,24036295317718339003609,"RUELALA*MMTMNQRMTU RUELALA.COM MA","RUELALA.COM   MA ",-90.79
11/10/2025,24492165314100013885368,"SP ENGINEERED NOW ENGINEEREDNOWCO","ENGINEEREDNOW CO ",-136.98
11/07/2025,24011345311100066435908,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-133.34
11/04/2025,24692165307101121687909,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-18.76
11/03/2025,24692165306100230365804,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
11/03/2025,74350155306002739792497,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
11/03/2025,24692165305108976231974,"SQ *VISIBLE COFFEE ROASTESeattle WA","Seattle       WA ",-13.59
10/31/2025,                       ,"ANNUAL FEE","",-95.00
10/31/2025,24011345304100059065851,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
10/30/2025,24000975302676204431204,"IKON PASS 888-3654566 CO","888-3654566   CO ",-999.00
10/30/2025,24034545302006032595734,"81394 - WESTLAKE & TERRY SEATTLE WA","SEATTLE       WA ",-6.24
10/28/2025,24692165300104301771847,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-10.48
10/27/2025,74609055299100004988772,"REMARKABLE OSLO","",-3.30
10/27/2025,24692165299102812684247,"Vrbo HA8BZ07S 512-759-0902 TX","512-759-0902  TX ",-2147.93
10/27/2025,24036295298718271437370,"MPIX 620-231-8050 KS","620-231-8050  KS ",-14.87
