Posted Date,Reference Number,Payee,Address,Amount
10/24/2025,24011345297100061661415,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
10/22/2025,24755425294292946882184,"LAWRENCE ZANE HUPPIN DPM 206-3443808 WA","206-3443808   WA ",-11.40
10/22/2025,29573500010847000187788,"BA ELECTRONIC PAYMENT","",1686.83
10/21/2025,24000775293100031757645,"SMITHOPTICS.COM SMITHOPTICS.COR","SMITHOPTICS.C OR ",-263.76
10/21/2025,24011345293100111853594,"SP PAMPER HAUS DESIGN STORE.PAMPERHCA","STORE.PAMPERH CA ",-5081.00
10/18/2025,24036295290718978748853,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-54.15
10/17/2025,24011345290100061675362,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-133.34
10/16/2025,24027625288067905957218,"PAYPAL *ARSENIC ANY 518-727-8838 VT","518-727-8838  VT ",-62.00
10/10/2025,24055235283509482465311,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-7.50
10/10/2025,24011345283100064233531,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-127.67
10/10/2025,24801975282508905800160,"FURY CONSIGNMENT SEATTLE WA","SEATTLE       WA ",-533.24
10/09/2025,24692165281106643765844,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-19.86
10/09/2025,24692165281106635965428,"SQ *MAINSTAY PROVISIONS DSeattle WA","Seattle       WA ",-39.34
10/08/2025,24027625280067498164600,"PAYPAL *DR BRONNERS DR BR402-935-7733 CA","402-935-7733  CA ",-61.88
10/08/2025,24027625280067483118454,"PAYPAL *STANCE 949-391-9030 CA","949-391-9030  CA ",-92.66
10/06/2025,24692165278104027485571,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
10/06/2025,24692165278103887641612,"SQ *LUNA BELLA'S CONSIGNMVashon WA","Vashon        WA ",-41.31
10/03/2025,74350155276001116761642,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
10/03/2025,24011345276100064440812,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
10/03/2025,24692165275100405532854,"TST*RUBINSTEIN BAGELS - Seattle WA","Seattle       WA ",-39.41
10/02/2025,24692165275100236235230,"SQ *LULA SEATTLE WA","SEATTLE       WA ",-19.46
09/29/2025,24427335270710049554076,"PCC - VIEW RIDGE SEATTLE WA","SEATTLE       WA ",-54.92
09/27/2025,24240525270493943014072,"THE GRATEFUL BREAD SEATTLE WA","SEATTLE       WA ",-18.75
09/27/2025,24011345270100022149840,"SP HONEY STINGER HONEYSTINGER.CO","HONEYSTINGER. CO ",-54.38
09/27/2025,24692165269104914973045,"TST*CARMELOS TACOS - SE Seattle WA","Seattle       WA ",-37.20
09/26/2025,74609055269100048103244,"REMARKABLE OSLO","",-3.30
09/26/2025,24801975269492754375979,"DUNN LAKE UNION SEATTLE WA","SEATTLE       WA ",-40.98
09/26/2025,24011345269100064214661,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
09/26/2025,24027625268067860392355,"PAYPAL *ARSENIC ANY ARSEN402-935-7733 VT","402-935-7733  VT ",-86.00
