Posted Date,Reference Number,Payee,Address,Amount
09/25/2025,                       ,"INTEREST CHARGED ON PURCHASES","",-67.32
09/22/2025,26573500010847000188113,"BA ELECTRONIC PAYMENT","",3585.15
09/19/2025,24011345262100069182597,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-131.45
09/17/2025,74980305259100081870469,"UBER TRIP* TRIP UBER.COM","",-0.68
09/15/2025,74188895256000106809059,"UBER *TRIP HELP.UBER.COM Tokyo","",-3.40
09/15/2025,74980305257100004980009,"UBER TRIP* TRIP UBER.COM","",-9.05
09/15/2025,24765015256477718332350,"GALBI BURGER BROADWAY SEATTLE WA","SEATTLE       WA ",-35.68
09/13/2025,74980305256100033240368,"UBER TRIP* TRIP UBER.COM","",-27.87
09/13/2025,74980305256100018070004,"UBER TRIP* TRIP UBER.COM","",-18.75
09/13/2025,74980305255100079550473,"UBER TRIP* TRIP UBER.COM","",-23.58
09/13/2025,24717055255872554660441,"HAWAIIAN AI 1734211890354SEATTLE WA","SEATTLE       WA ",-160.00
09/13/2025,24049555255900019280295,"MUD BAY UNIVERSITY VILLAGSEATTLE WA","SEATTLE       WA ",-8.82
09/12/2025,24431065255285676248405,"THE NEW STAND ST2889 SEATTLE WA","SEATTLE       WA ",-4.40
09/11/2025,74998865253536203313483,"PAYPAL *MOUSPRODUCT 35314369001","",-109.23
09/11/2025,24027625253067052958119,"PAYPAL *BAMBULABUSA 512-915-9986 TX","512-915-9986  TX ",-77.18
09/08/2025,24692165250101277339450,"NYTIMES* 800-698-4637 NY","800-698-4637  NY ",-25.55
09/08/2025,24943005250282374020378,"HYATT AT OLIVE 8 F&B SEATTLE WA","SEATTLE       WA ",-83.57
09/05/2025,24011345248100067870713,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-129.56
09/04/2025,74998865246535757359645,"PAYPAL *TRYHACKME 35314369001","",-139.04
09/02/2025,24183105244900031994570,"COURSEFORHIPAA.COM 407-9066254 FL","407-9066254   FL ",-15.00
09/01/2025,74350155244009343440319,"LEV HAOLAM.COM SBUT RAHEL","",-99.00
09/01/2025,24251385243030121763689,"SOLE FOOD SEATTLE WA","SEATTLE       WA ",-183.07
09/01/2025,24427335243710042927604,"METROPOLITAN MKT 15 SEATTLE WA","SEATTLE       WA ",-33.33
09/01/2025,24445005242300433997396,"QFC #5866 SEATTLE WA","SEATTLE       WA ",-15.82
08/29/2025,24011345241100083000623,"HUNGRYROOT.COM HUNGRYROOT.CONY","HUNGRYROOT.CO NY ",-129.56
08/27/2025,24055235239457627292296,"KITCHEN & MARKET-MADISON SEATTLE WA","SEATTLE       WA ",-28.50
08/27/2025,74609055239100004378332,"REMARKABLE OSLO","",-3.30
08/27/2025,24198805238533077105276,"PAYPAL *EVO 2068199672 WA","2068199672    WA ",-124.12
08/27/2025,23973500010847000160487,"BA ELECTRONIC PAYMENT","",5745.40
