Date,Payee,Amount,Category,Bas-Lux,source
7/23/25,Ext Credit Card Debit LITTLE UMBRELLA          VANCOUVER    BC,5.3,Dining,Luxury,ftcu
7/22/25,Ext Credit Card Debit EXPEDIA HOTELCOM731800   UK.HOTELS.COMGB,156.07,Travel,Luxury,ftcu
11/21/25,Ext Credit Card Debit BANK OF AMERICA          SEATTLE      DC,-35,Cash,Basic,ftcu
11/19/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-3.03,Transfer,Basic,ftcu
9/29/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-104.55,Cash,Basic,ftcu
9/23/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-303.86,Transfer,Basic,ftcu
9/9/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-253,Transfer,Basic,ftcu
9/9/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-316.57,Cash,Basic,ftcu
8/29/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-203,Cash,Basic,ftcu
8/20/25,Ext Credit Card Debit BANK OF AMERICA          SEATTLE      DC,-8,Cash,Basic,ftcu
8/9/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-32.31,Transfer,Basic,ftcu
8/8/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-36.01,Transfer,Basic,ftcu
8/7/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-32.91,Cash,Basic,ftcu
8/5/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-27.1,Transfer,Basic,ftcu
8/2/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-27.1,Transfer,Basic,ftcu
8/2/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-28.35,Transfer,Basic,ftcu
7/29/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-37.87,Transfer,Basic,ftcu
7/29/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-37.87,Cash,Basic,ftcu
7/28/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-34.97,Cash,Basic,ftcu
7/25/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-5.7,Transfer,Basic,ftcu
7/24/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-6.38,Cash,Basic,ftcu
7/10/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-10.24,Cash,Basic,ftcu
7/3/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-18.9,Cash,Basic,ftcu
7/3/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-21.6,Transfer,Basic,ftcu
6/30/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-16.77,Cash,Basic,ftcu
6/26/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-15.52,Cash,Basic,ftcu
6/24/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-18.11,Cash,Basic,ftcu
6/21/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-73.19,Cash,Basic,ftcu
6/16/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-79.98,Cash,Basic,ftcu
6/14/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-14.07,Transfer,Basic,ftcu
6/7/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-7.98,Cash,Basic,ftcu
5/31/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-2.95,Transfer,Basic,ftcu
5/31/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-22.97,Cash,Basic,ftcu
5/24/25,Ext Credit Card Debit CASH ADVANCE             BEAVERTON    OR,-3.56,Cash,Basic,ftcu
5/16/25,Ext Credit Card Credit PAYMENT - THANK YOU      BEAVERTON    OR,-16.22,Transfer,Basic,ftcu
