original_payee,real_name,confidence
*LAKE CITY          SEATTLE            W,Lake City Seattle Wa,0.85
10098 CAVA SUBURBAN SQ   ARDMORE      PA,Cava Suburban Square Ardmore,0.4
4490 SOUTH STATE 100MOUNT CARMEL        UT,South State Mount Carmel,0.4
46630 N BEND WAY 574NORTH BEND          WA,N Bend Way North Bend,0.4
6951310 - PEET'S COFSEATTLE             WA,Peet's Coffee,0.95
7-ELEVEN 23020           SEATTLE      WA,7-Eleven,0.9333333333333333
7-ELEVEN T3 #03-12  SINGAPORE           SG,7-Eleven,0.9333333333333333
76 - CF UNITED APRO LLC 2BELLEVUE     WA,- Cf United Apro Llc Bellevue,0.4
76 - CHELAN 76           CHELAN       WA,- Chelan Chelan,0.4
76 - HUNGRY BEAR MARKET  BELLEVUE     WA,- Hungry Bear Market Bellevue,0.4
76 - MARKET PLACE        ORONDO       WA,- Market Place Orondo,0.4
76 - ROOSEVELT 76        SEATTLE      WA,- Roosevelt Seattle,0.4
76 - THE POINT           SEATTLE      WA,- The Point Seattle,0.4
76 - VILLAGE MARKET 76   SEATTLE      WA,- Village Market Seattle,0.4
76 Fuel,Fuel,0.4
7E - TERMINAL 2     SINGAPORE           SG,E - Terminal Singapore,0.4
81394 - WESTLAKE & TERRY SEATTLE WA,- Westlake Terry Seattle,0.4
AAA WA MEMBERSHIP 00     800-562-2582 WA,Aaa Membership - -,0.4
AAA WA MEMBERSHIP 01     800-562-2582 WA,Aaa Membership - -,0.4
ACT THEATRE WEB 206-292-7660 WA,Act Theatre Web - -,0.4
ACTIVE CULTURE CAFE BEND                OR,Active Culture Cafe Bend,0.4
ADOBE Adobe Systems SAN JOSE            CA,Adobe Adobe Systems San Jose,0.4
AER LINGUS          DUBLIN              CO,Aer Lingus Dublin,0.4
AEROP. ADOLFO SUAREZ MADRMADRID       ES,Aerop Adolfo Suarez Madrmadrid Es,0.4
AIRBNB * HMKNBQB23F AIRBNB.COM CA,Airbnb Hmknbqb F Airbnb Com,0.4
AIRBNB * HMSBE25BKD AIRBNB.COM CA,Airbnb Hmsbe Bkd Airbnb Com,0.4
ALADDIN GYRO RESTAURSEATTLE             WA,Aladdin Gyro Restaurseattle,0.4
ALASKA AIR 0272105259538SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272105260139SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272105260140SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272105262086SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272106640952SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272109051092SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR 0272394527601SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIR SEATTLE WA,Alaska Air Seattle,0.4
ALASKA AIRLINES     SEATTLE             WA,Alaska Airlines Seattle,0.4
ALCAMPO LOGRONO          LOGRONO      ES,Alcampo Logrono Logrono Es,0.4
ALIMENTACION PRIMOS      LOGRONO      ES,Alimentacion Primos Logrono Es,0.4
ALL THE BEST PET CARE    206-529-8000 WA,Peet's Coffee,0.8571428571428571
ALLIANZ TRAVEL INS ALLIANZINS.USVA,Allianz Travel Ins Allianzins Usva,0.4
ALOFT TOKYO GINZA -C*                   JP,Aloft Tokyo Ginza -C Jp,0.4
AMAZON MARKEPLACE NA PA,Amazon,0.95
AMAZON MKTPL*061WN5NY3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*273Q84KG3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*6E4ZE8763   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*EC40N97Z3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*FI8UH9NO3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*GF1UN5B83   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*IF1QL9TA3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*MW7QB7WZ3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*N322C53H1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*NI8I808V2   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*NL2152RU0   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*NL4NU0RP0   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*NN6730OD0   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*P05GB2GW3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*QQ4DT5PS3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*QZ40E1J43   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*TH6WJ55D3   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*US5PT8663   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z52ZS0DB1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z54JZ8642   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z56Q89YW1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z58Q362O1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z702C1CJ2   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z77XG2681   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*Z79WK7O91   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*ZC8QI0BP1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*ZC9RT2EF1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*ZD4US5WL1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPL*ZG4154MU1   Amzn.com/billWA,Amazon,0.95
AMAZON MKTPLACE PMTS Amzn.com/bil CREDIT,Amazon,0.95
AMAZON PRIME PMTS        Amzn.com/billWA,Amazon,0.95
AMAZON PRIME PMTS        amzn.com/billWA,Amazon,0.95
AMAZON PRIME*0T9CY5VAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*213NF2FAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*4624A69AMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*5316N72Q3   amzn.com/billWA,Amazon,0.95
AMAZON PRIME*7R96V3LAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*7X9QF4S53   Amzn.com/billWA,Amazon,0.95
AMAZON PRIME*824L43403   amzn.com/billWA,Amazon,0.95
AMAZON PRIME*8H20B7AAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*CD8MF53T3   Amzn.com/billWA,Amazon,0.95
AMAZON PRIME*CF97H77AMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*CX8JA8F93   Amzn.com/billWA,Amazon,0.95
AMAZON PRIME*ME6UU9WAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*NW4220JE2   amzn.com/billWA,Amazon,0.95
AMAZON PRIME*NZ74Z5X60   Amzn.com/billWA,Amazon,0.95
AMAZON PRIME*OR9JH8RAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*P68E02BAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*R20V94KAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*R65X76OAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*R70Z389AMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RC2PT4CAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RH0065XAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RI85E93AMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RM6V80PAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RT91L4HAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*RV7G20WAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*TK4KO2ZAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*TS9O522T3   amzn.com/billWA,Amazon,0.95
AMAZON PRIME*TV87O1CAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*WD2W52KAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON PRIME*Z54N97PA2   amzn.com/billWA,Amazon,0.95
AMAZON PRIME*ZT4FY7XAMZN.CO.UK/PM       GB,Amazon,0.95
AMAZON.COM          AMZN.COM/BILL       WA,Amazon,0.95
AMBASSADOR TRANSIT HSINGAPORE           SG,Ambassador Transit Hsingapore,0.4
AMC Theatres,Amc Theatres,0.4
AMERICAN EXPRESS TRASEATTLE             WA,American Express Traseattle,0.4
AMEX CLEAR PLUS CREDIT,Amex Clear Plus Credit,0.4
AMK BRYCE CANYON GIFT    BRYCE        UT,Amk Bryce Canyon Gift Bryce,0.4
AMZ*5a93g3xcp Lumen FieldSeattle      WA,Amz A G Xcp Lumen Fieldseattle,0.4
ANA AIR 2057210998390SEATTLE WA,Ana Air Seattle,0.4
ANA AIR 2057210998391SEATTLE WA,Ana Air Seattle,0.4
ANNUAL FEE,Annual Fee,0.4
ANNUAL FEE 07/25 THROUGH 06/26,Annual Fee Through,0.4
ANTHROPIC           SAN FRANCISCO       CA,Anthropic San Francisco,0.4
AP-1 ARABAT MOND-ETXA    GASTEIZ-VITO ES,Ap- Arabat Mond-Etxa Gasteiz-Vito Es,0.4
APNA BAZAR BELLEVUE      BELLEVUE     WA,Apna Bazar Bellevue Bellevue,0.4
APPLE ANNIES ANTIQUE GALLCASHMERE     WA,Apple Annies Antique Gallcashmere,0.4
APPLE STORE R072 R07SEATTLE             WA,Apple Store R R Seattle,0.4
APPLE STORE  #R072       SEATTLE      WA,Apple Store R Seattle,0.4
APPLE.COM/BILL      INTERNET CHARGE     CA,Apple Com Bill Internet Charge,0.4
APPLE.COM/BILL           800-275-2273 CA,Apple Com Bill - -,0.4
APPLE.COM/BILL           866-712-7753 CA,Apple Com Bill - -,0.4
ARASHIYUGIONBETTEI AKYOTO               JP,Arashiyugionbettei Akyoto Jp,0.4
ARCO#00818RED SEA SERVIC SEATTLE      WA,Arco Red Sea Servic Seattle,0.4
ARCO#04124BELLA CHANSANDY               OR,Arco Bella Chansandy,0.4
ARCO#07060ARCO #0706BURLINGTON          WA,Arco Arco Burlington,0.4
ARCO#82880TANG & CHEISSAQUAH            WA,Arco Tang Cheissaquah,0.4
ARCO#83231EMANUEL II LLC BELLEVUE     WA,Arco Emanuel Ii Llc Bellevue,0.4
ARRIZUL CONGRESS         SAN SEBASTIANES,Arrizul Congress San Sebastianes,0.4
ASUTYKYOTO ASUTYSHINJAPAN               JP,Asutykyoto Asutyshinjapan Jp,0.4
ATLAS FREMONT MALL LLC   SEATTLE      WA,Atlas Fremont Mall Llc Seattle,0.4
ATPSEITT  M-50S-&gt;N-IITMADRID       ES,Atpseitt M- S- Gt N-Iitmadrid Es,0.4
ATRE SHINAGAWA      TOKYO               JP,Atre Shinagawa Tokyo Jp,0.4
AUTOBACS (POS)           OSAKA        JP,Autobacs Pos Osaka Jp,0.4
AUTOBACS GROUP      MITA                JP,Autobacs Group Mita Jp,0.4
AUTOZONE #5197           ARLINGTON    WA,Autozone Arlington,0.4
AVIS RENT A CAR     MISSOULA            MT,Avis Rent A Car Missoula,0.4
AWFULLY CHOCOLATE - SINGAPORE           SG,Awfully Chocolate - Singapore,0.4
AZZIST MEMBER       TOKYO               JP,Azzist Member Tokyo Jp,0.4
Airbnb,Airbnb,0.4
Amazon Prime*Z525889Q1   Amzn.com/billWA,Amazon,0.95
Amazon.com*0B3HR7EO3     Amzn.com/billWA,Amazon,0.95
Amazon.com*2A24M10I3     Amzn.com/billWA,Amazon,0.95
Amazon.com*7J16U4U33     Amzn.com/billWA,Amazon,0.95
Amazon.com*B20R95CH2 Amzn.com/billWA,Amazon,0.95
Amazon.com*BH4NM58A3     Amzn.com/billWA,Amazon,0.95
Amazon.com*CS6563T93     Amzn.com/billWA,Amazon,0.95
Amazon.com*NN5O80NT1     Amzn.com/billWA,Amazon,0.95
Amazon.com*QB3Z36JM3     Amzn.com/billWA,Amazon,0.95
Amazon.com*RX1U73SC3     Amzn.com/billWA,Amazon,0.95
Amazon.com*Z58QK5JE2     Amzn.com/billWA,Amazon,0.95
Amazon.com*ZC3ND69W0     Amzn.com/billWA,Amazon,0.95
Amazon.com*ZE7HH6781     Amzn.com/billWA,Amazon,0.95
Amazon.com*ZU8UZ1MB0     Amzn.com/billWA,Amazon,0.95
Amex Send: Transfer to Card-Inactivity,Amex Send Transfer To Card-Inactivity,0.4
Anchorhead Coffee,Anchorhead Coffee,0.4
AplPay 2420 SPANISH MOAB                UT,Aplpay Spanish Moab,0.4
AplPay ALBERTSONS #0MISSOULA            MT,Aplpay Albertsons Missoula,0.4
AplPay APPLE ONLINE CUPERTINO           CA,Aplpay Apple Online Cupertino,0.4
AplPay APPLE STORE RSEATTLE             WA,Aplpay Apple Store Rseattle,0.4
AplPay APPLE.COM/BILINTERNET CHARGE     CA,Aplpay Apple Com Bilinternet Charge,0.4
AplPay APPLE.COM/US CUPERTINO           CA,Aplpay Apple Com Cupertino,0.4
AplPay AVANTI WEST CBIRMINGHAM          GB,Aplpay Avanti West Cbirmingham Gb,0.4
AplPay BOMBAY EXPRESSEATTLE             WA,Aplpay Bombay Expresseattle,0.4
AplPay BOOTS THE CHEST ANDREWS          GB,Aplpay Boots The Chest Andrews Gb,0.4
AplPay CANDY TYME WESEATTLE             WA,Aplpay Candy Tyme Weseattle,0.4
AplPay CHIPOTLE 2574SEATTLE             WA,Aplpay Chipotle Seattle,0.4
AplPay CIRCLE K 6558SPOKANE VALLE       WA,Aplpay Circle K Spokane Valle,0.4
AplPay CITY-MARKET #CORTEZ              CO,Aplpay City-Market Cortez,0.4
AplPay COFF.EE* COCOSAN FRANCISCO       CA,Aplpay Coff Ee Cocosan Francisco,0.4
AplPay DURANGO BAGELDURANGO             CO,Aplpay Durango Bageldurango,0.4
AplPay EDINBURGH TRAEDINBURGH           GB,Aplpay Edinburgh Traedinburgh Gb,0.4
"AplPay ETSY, INC.   BROOKLYN            NY",Aplpay Etsy Inc Brooklyn,0.4
AplPay FISHERIES SUPSEATTLE             WA,Aplpay Fisheries Supseattle,0.4
AplPay FUEL STOP 113EVANSTON            WY,Aplpay Fuel Stop Evanston,0.4
AplPay GADGET REHAB SEATTLE             WA,Aplpay Gadget Rehab Seattle,0.4
AplPay GAP US 1715  SEATTLE             WA,Aplpay Gap Seattle,0.4
AplPay GETYOURGUIDE DOVER               DE,Aplpay Getyourguide Dover,0.4
AplPay GIFF'S BARBECKANAB               UT,Aplpay Giff S Barbeckanab,0.4
AplPay GOFUNDME     SAN DIEGO           CA,Aplpay Gofundme San Diego,0.4
AplPay GOOD FOOD STOMISSOULA            MT,Aplpay Good Food Stomissoula,0.4
AplPay HACHI-KO 0000SEATAC              WA,Aplpay Hachi-Ko Seatac,0.4
AplPay HEALTHY BEINGJackson             WY,Aplpay Healthy Beingjackson,0.4
AplPay HOLLAND & BARST ANDREWS          GB,Aplpay Holland Barst Andrews Gb,0.4
AplPay INDIGO BC - LVANCOUVER           CA,Aplpay Indigo Bc - Lvancouver,0.4
AplPay KINOKUNIYA BOSEATTLE             WA,Aplpay Kinokuniya Boseattle,0.4
AplPay LIME*PASS FA6SAN FRANCISCO       CA,Aplpay Lime Pass Fa San Francisco,0.4
AplPay LS ST ANDREWSST ANDREWS          FI,Aplpay Ls Street Andrewsst Andrews Fi,0.4
AplPay LS ST ANDREWSST ANDREWS          GB,Aplpay Ls Street Andrewsst Andrews Gb,0.4
AplPay LS TUBA CITY TUBA CITY           AZ,Aplpay Ls Tuba City Tuba City,0.4
AplPay MAVERIK #353 JACKSON             WY,Aplpay Maverik Jackson,0.4
AplPay MAVERIK #581 CLEARFIELD          UT,Aplpay Maverik Clearfield,0.4
AplPay MAVERIK #613 SPOKANE             WA,Aplpay Maverik Spokane,0.4
AplPay MCDONALDS 137TIBSHELF            GB,McDonald's,0.95
AplPay MESA VERDE VIMANCOS              CO,Aplpay Mesa Verde Vimancos,0.4
AplPay METROPOLITAN SEATTLE             WA,Aplpay Metropolitan Seattle,0.4
AplPay MIDNIGHT COOKSeattle             WA,Aplpay Midnight Cookseattle,0.4
AplPay MOBILE PASMO TOKYO               JP,Aplpay Mobile Pasmo Tokyo Jp,0.4
AplPay NATURAL GROCEDURANGO             CO,Aplpay Natural Grocedurango,0.4
AplPay NORDSTROM    SEATTLE             WA,Aplpay Nordstrom Seattle,0.4
AplPay OUTDOOR EMPORSEATTLE             WA,Aplpay Outdoor Emporseattle,0.4
AplPay PILOT_01195 0ELLENSBURG          WA,Aplpay Pilot Ellensburg,0.4
AplPay PY *KETTLE HOMISSOULA            MT,Aplpay Py Kettle Homissoula,0.4
AplPay RACHEL'S GINGseattle             WA,Aplpay Rachel S Gingseattle,0.4
AplPay RAVENNA BREWISeattle             WA,Aplpay Ravenna Brewiseattle,0.4
AplPay REI #11 SEATTSEATTLE             WA,Aplpay Rei Seattseattle,0.4
AplPay REI #231 JACKJACKSON             WY,Aplpay Rei Jackjackson,0.4
AplPay SAINSBURY'S EEDINBURGH           GB,Aplpay Sainsbury S Eedinburgh Gb,0.4
AplPay SAMURAI NOODLSeattle             WA,Aplpay Samurai Noodlseattle,0.4
AplPay SIERRA FORESTKENT                WA,Aplpay Sierra Forestkent,0.4
AplPay SP JACK JEROMSEATTLE             WA,Aplpay Sp Jack Jeromseattle,0.4
AplPay SPEEDWAY 4631TUBA CITY           AZ,Aplpay Speedway Tuba City,0.4
AplPay SPOKANE KOA  SPOKANE VALLEY      WA,Aplpay Spokane Koa Spokane Valley,0.4
AplPay STEVE'S POKE Vancouver           CA,Aplpay Steve S Poke Vancouver,0.4
AplPay SUBWAY 47663 RICHMOND            CA,Aplpay Subway Richmond,0.4
AplPay SUMUP*TAXI   DUNDEE,Aplpay Sumup Taxi Dundee,0.4
AplPay SUSHI%AYCE   CHICAGO             IL,Aplpay Sushi Ayce Chicago,0.4
AplPay TESCO STORE 3ST. ANDREWS         GB,Aplpay Tesco Store Street Andrews Gb,0.4
AplPay TFL TRAVEL CHTFL.GOV.UK/CP       GB,Aplpay Tfl Travel Chtfl Gov Cp Gb,0.4
AplPay THREE FORKS KTHREE FORKS         MT,Aplpay Three Forks Kthree Forks,0.4
AplPay TOWNPUMP WHITWHITEHALL           MT,Aplpay Townpump Whitwhitehall,0.4
AplPay TRAINLINE TraLONDON              GB,Aplpay Trainline Tralondon Gb,0.4
AplPay TST* ANJAPPARBELLEVUE            WA,Aplpay Tst Anjapparbellevue,0.4
AplPay TST* DINGFELDSEATTLE             WA,Aplpay Tst Dingfeldseattle,0.4
AplPay TST* HIDEAWAYSEDONA              AZ,Aplpay Tst Hideawaysedona,0.4
AplPay TST* MEE SUM SEATTLE             WA,Aplpay Tst Mee Sum Seattle,0.4
AplPay TST* MTR 3007BELLEVUE            WA,Aplpay Tst Mtr Bellevue,0.4
AplPay TST* THAI FUSSEATTLE             WA,Aplpay Tst Thai Fusseattle,0.4
AplPay TST* UMI SUSHSPOKANE             WA,Aplpay Tst Umi Sushspokane,0.4
AplPay UBER EATS    help.uber.com       CA,Uber Trip,0.85
AplPay UBER TRIP    HTTPS://HELP.UBER.CO,Uber Trip,0.85
AplPay UBER TRIP    HTTPS://HELP.UBER.COGB,Uber Trip,0.85
AplPay WALKER TRUE VMOAB                UT,Aplpay Walker True Vmoab,0.4
AplPay WESTGATE STATWEST YELLOWST       MT,Aplpay Westgate Statwest Yellowst,0.4
AplPay WWW.HOSTELWORDUBLIN              CO,Aplpay Www Hostelwordublin,0.4
AplPay ZETTLE *THE NNEWPORT-ON-TAY      GB,Aplpay Zettle The Nnewport-On-Tay Gb,0.4
Apple,Apple,0.4
At Seattleaquarium,At Seattleaquarium,0.4
BA ELECTRONIC PAYMENT,Ba Electronic Payment,0.4
BACKWATER RIPPLES PRIV   KOTTAYAM     II,Backwater Ripples Priv Kottayam Ii,0.4
BAECKEREI HAUETER        ADELBODEN    CH,Baeckerei Haueter Adelboden Ch,0.4
BAKERY CAFE C NAMBA *                   JP,Bakery Cafe C Namba Jp,0.4
BAMBU LAB STORE 7027AUSTIN              TX,Bambu Lab Store Austin,0.4
BAR LA SENDA             LOGRONO      ES,Bar Senda Logrono Es,0.4
BAR PRADOVIEJO           LOGRONO      ES,Bar Pradoviejo Logrono Es,0.4
BARTELL DRUG 06931       SEATTLE      WA,Bartell Drug Seattle,0.4
BARTELL DRUG 06973 SEATTLE WA,Bartell Drug Seattle,0.4
BAY STREET    460001MONTCLAIR           NJ,Bay Street Montclair,0.4
BELLEVUE GUN CLUB BEBELLEVUE            WA,Bellevue Gun Club Bebellevue,0.4
BIDEGI A8/A1 GIPUZKOA    DONOSTIA-SAN ES,Bidegi A A Gipuzkoa Donostia-San Es,0.4
BLACKBURN DRUG 65000JACKSON             WY,Blackburn Drug Jackson,0.4
BLVD   *RUDY'S LAURELHURSSEATTLE      WA,Blvd Rudy S Laurelhursseattle,0.4
BODEGAS PAGOS DE GANUZA  OYON         ES,Bodegas Pagos Ganuza Oyon Es,0.4
BODEGON EL REFUGIO       LOGRO/O      ES,Bodegon El Refugio Logro O Es,0.4
BOOTS THE CHEMIST   ST ANDREWS          GB,Boots The Chemist Street Andrews Gb,0.4
BRITISH AIRWAYS BritHARMONDSWORTH       GB,British Airways Britharmondsworth Gb,0.4
BROWN BEAR CAR WASH #1026SEATTLE      WA,Brown Bear Car Wash Seattle,0.4
BROWN BEAR CAR WASH - 15TSEATTLE      WA,Brown Bear Car Wash - Tseattle,0.4
BROWN BEAR CAR WASH - NE SEATTLE      WA,Brown Bear Car Wash - Seattle,0.4
BROWN BEAR LAKE CITY SEATTLE WA,Lake City Seattle Wa,0.85
Ba Bar University,Ba Bar University,0.4
BackCountry - Seattle    Seattle      WA,Backcountry - Seattle Seattle,0.4
Banyan Tree Thai RestauraKENT         WA,Banyan Tree Thai Restaurakent,0.4
Best Buy,Best Buy,0.4
Borowitzreport Substac Borowitzreporca,Borowitzreport Substac Borowitzreporca,0.4
Brownpapertickets.com,Brownpapertickets Com,0.4
Buckaroo Annef,Buckaroo Annef,0.4
CACHITO MIO LARDERO,Cachito Mio Lardero,0.4
CAFE JAVASTI             SEATTLE      WA,Cafe Javasti Seattle,0.4
CAFE PASQUAL'S SANTA FE NM,Cafe Pasqual S Santa Fe,0.4
CALENDA PORTALES         LOGRO/O      ES,Calenda Portales Logro O Es,0.4
CAMP NORWESTER WWW.NORWESTERWA,Camp Norwester Www Norwesterwa,0.4
CANNON EYECARE - UV      SEATTLE      WA,Cannon Eyecare - Uv Seattle,0.4
CARILLON POINT PARKING   KIRKLAND     WA,Carillon Point Parking Kirkland,0.4
CARNICERIA INAKI BALERDI DONOSTIA-SAN ES,Carniceria Inaki Balerdi Donostia-San Es,0.4
CASA VICTOR              LOGROO       ES,Casa Victor Logroo Es,0.4
CASH ADVANCE FEE,Cash Advance Fee,0.4
CASUALFOOD 2630 1 + APM  Frankfurt am DF,Casualfood Apm Frankfurt Am Df,0.4
CASUALFOOD  2130         Frankfurt am DF,Casualfood Frankfurt Am Df,0.4
CEDARS OF LEBANON   SEATTLE             WA,Cedars Of Lebanon Seattle,0.4
CENEX CHS NORTHWEST BLACK DIAMOND       WA,Cenex Chs Northwest Black Diamond,0.4
CENTARAGRANDHOTELOSAOSAKA               JP,Centaragrandhotelosaosaka Jp,0.4
CENTRAL CO-OP            SEATTLE      WA,Central Co-Op Seattle,0.4
CHAPULIN OAXAQUENO LLC   SEATTLE      WA,Chapulin Oaxaqueno Llc Seattle,0.4
CHEVRON 0091292/CHEVNORTH BEND          WA,Chevron,0.95
CHEVRON 0092584/CHEVSEATTLE             WA,Chevron,0.95
CHEVRON 0097258          SEATTLE      WA,Chevron,0.95
CHEVRON 0098995/CHEVPACKWOOD            WA,Chevron,0.95
CHEVRON 0203477/CHEVSEATTLE             WA,Chevron,0.95
CHEVRON 0203477          SEATTLE      WA,Chevron,0.95
CHEVRON 0205257          SEATTLE      WA,Chevron,0.95
CHEVRON 0205343          SNOQUALMIE PAWA,Chevron,0.95
CHEVRON 0305496          CASTLE ROCK  WA,Chevron,0.95
CHEVRON 0378582          SEATTLE      WA,Chevron,0.95
CHILI'S DELI             SEATTLE      WA,Chili S Deli Seattle,0.4
CHINA EASTERN AIR CHUNITED KINGDOM      GB,China Eastern Air Chunited Kingdom Gb,0.4
CHIPOTLE 0469            BELLEVUE     WA,Chipotle Bellevue,0.4
CHIPOTLE 1083            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 1219            ANN ARBOR    MI,Chipotle Ann Arbor,0.4
CHIPOTLE 1364            BELLEVUE     WA,Chipotle Bellevue,0.4
CHIPOTLE 1984            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 2554            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 2574            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 2935            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 5280            SEATTLE      WA,Chipotle Seattle,0.4
CHIPOTLE 5396            PORT ANGELES WA,Chipotle Port Angeles,0.4
CHS INC             BLACK DIAMOND       WA,Chs Inc Black Diamond,0.4
CIAL DUTYFREE AND RETA   ERNAKULAM    II,Cial Dutyfree And Reta Ernakulam Ii,0.4
CINNAMON WORK'S          SEATTLE      WA,Cinnamon Work S Seattle,0.4
CIRCLE K # 09654         KIRKLAND     WA,Circle K Kirkland,0.4
CITY MARKET #0208 FUCORTEZ              CO,City Market Fucortez,0.4
CITY OF SEATTLE          206-6845226  WA,City Of Seattle -,0.4
CITY OF UMATILLA         UMATILLA     OR,City Of Umatilla Umatilla,0.4
CITY PEOPLE S MERC  SEATTLE             WA,City People S Merc Seattle,0.4
CITY PEOPLE`S MERC       SEATTLE      WA,City People S Merc Seattle,0.4
CL *TRIPCHARGES          TRIPCHRG.COM VA,Cl Tripcharges Tripchrg Com,0.4
CLAUDE.AI SUBSCRIPTIPASADENA            CA,Claude Ai Subscriptipasadena,0.4
CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,Claude Ai Subscriptisan Francisco,0.4
CLEAR *CLEARME.COM  NEW YORK            NY,Clear Clearme Com New York,0.4
CLINE BOT INC       WILMINGTON          DE,Cline Bot Inc Wilmington,0.4
COCOKARAFINE        KANAGAWA            JP,Cocokarafine Kanagawa Jp,0.4
COGNITION LABS (DEVISAN FRANCISCO       CA,Cognition Labs Devisan Francisco,0.4
COLMAR HOME CENTER 0MARGATE CITY        NJ,Colmar Home Center Margate City,0.4
COMCAST / XFINITY        800-266-2278 WA,Comcast Xfinity - -,0.4
COMCAST CABLE COMM       800-COMCAST  WA,Comcast Cable Comm -Comcast,0.4
CONCESSIONS @LUMEN FIELD SEATTLE      WA,Concessions Lumen Field Seattle,0.4
CONVENFEE 866-492-3463 MA,Convenfee - -,0.4
CORE DEVICES        SAN FRANCISCO       CA,Core Devices San Francisco,0.4
COSTCO *ANNUAL RENEWAL   800-774-2678 WA,Costco,0.95
COSTCO BY INSTACART      HTTPSINSTACARCA,Costco,0.95
COSTCO BY INSTACART      INSTACART.COMCA,Costco,0.95
COSTCO BY INSTACART      WWW.COSTCO.COCA,Costco,0.95
COSTCO BY INSTACART      WWW.COSTCO.COWA,Costco,0.95
COSTCO GAS #1216         BELLINGHAM   WA,Costco,0.95
COSTCO WHSE #0001        SEATTLE      WA,Costco,0.95
COSTCO WHSE #0110        ISSAQUAH     WA,Costco,0.95
